@relation LibReaderClassificationProblem

@attribute userid string
@attribute username string
@attribute major string
@attribute college string
@attribute bookname string
@attribute author string
@attribute topic string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
20100100003,username,英语（高级翻译）,英语语言文化学院,在月亮下面,阿金耶米,科学幻想小说,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,基度山伯爵,大仲马,长篇小说,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,大学交际法语,李志清,法语,chifre,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,大学英语翻译规律手册,仲锡,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,大学英语阅读步步高,周丽华,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,失乐园,弥尔顿,圣经,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,失踪女,祁又一,中篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,如何准备BEC初级考试,周成刚,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,妞妞,周国平,随笔,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,姐姐的守护者,'皮考特,',长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,学以致用,王强,'图形软件, Photoshop CS',chi,科学技术
20100100003,username,英语（高级翻译）,英语语言文化学院,实用英汉翻译教程,刘云波,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,对比·翻译·领悟,赵刚,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,小妇人,阿尔考特,'英语 - 对照读物',chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,小王子Ⅱ,圣艾修伯里,童话,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,平凡的世界,路遥,null,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,征服英语专业四级完形填空和快速阅读,申富英,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,征服英语专业四级阅读理解,申富英,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,心灵之约全集,董岩,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,想念是会呼吸的痛,陈南,故事,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,感悟,陈书凯,散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,感悟人生,雷涛,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,我在天国守候你,韩非,长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,我很重要,'毕淑敏,',散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,我是英语语法表解王,浩瀚,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,挪威的森林,'村上春树,',长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,撞上快乐,吉尔伯特,经济心理学,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,散文英译过程,'周领顺,',散文,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,文化苦旅,余秋雨,散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,新定位,'特劳特,',企业管理,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,新托福考试听力高分指导,刘庆华,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,新编美英报刊阅读教程,端木义万,报刊,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,无出路咖啡馆,严歌苓,长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,无师自通法语,柳利,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,日常谈论情景英语,孟昭强,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,时间的玫瑰,北岛,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,朗文.外研社新概念英语,亚历山大,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,杜老师的时间,詹文明,时间,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,标志创意设计,'王志敏,',标志,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,标志设计,司小军,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,欧洲的传说,格斯特,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,汉译英中的习语翻译,汪福祥,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,汉译英常用表达式经典惯例,'陆国强,',英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,法语入门速成班,宋健榕,法语,chifre,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,牙齿和爪子,扎基,故事,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,王小波全集,'王小波,',文学,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,现代企业管理,安景文,企业管理,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,瓦尔登湖,梭罗,散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,生命之爱,'汉考克,',null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,用英语点亮人生,胡敏,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,画里画外学俚语,金莉,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,疯狂英语,'丁林棚,',英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,看格林童话学英语,格林,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,秘密花园,'伯内特,',null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,穆斯林的葬礼,霍达,长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,纯幽默短信,张醒岩,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,经贸英语阅读,刘新民,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,结构·解构·建构,罗选民,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,翻译新论,杨自俭,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,翻译概论,董晓波,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,翻译理论探索,武锐,翻译理论,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,翻译理论综合案例教学,贺学耘,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,翻译的艺术,'许渊冲,',null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,翻译诗学散论,赵彦春,汉语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,耳语娃娃,艾西恩,长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,职业生涯管理,杜映梅,企业管理,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,苔丝,'哈代,',英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英汉互译理论与实践,张燕清,翻译,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语专业8级听力,刘芹,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语专业八级翻译特训,金利,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语专业阅读理解,张鑫友,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语中级听力,何其莘,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语口译实务,王燕,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语口语诵典,尹湘毅,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语名篇佳作100篇背诵手册,华江,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语听力,张学忠,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语听力教程,张民伦,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语小说描写选段,章智源,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语强调面面观,高学栋,英语,chieng,人文科学
