@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
财务报表分析案例,张新民,北京中国人民大学出版社2008,企业,F275.2,F275.2/Z316.95-5,chi,社会科学
'SAS 9.1统计软件应用教程',贺佳,北京人民卫生出版社2010,统计分析,C819-43,C819-43/H240,chi,社会科学
上海银楼,朱晓琳,上海上海文艺出版社2007,长篇小说,I247.57,I247.57/Z389.5,chi,人文科学
隐形伴侣,张抗抗,长春时代文艺出版社2001,长篇小说,I247.57,I247.57/Z316.44/1,chi,人文科学
经济预测与决策,高百宁,上海上海财经大学出版社2009,经济预测,F201-43,F201-43/G171.5,chi,社会科学
北极光,张抗抗,北京人民文学出版社2006,中篇小说,I247.57,I247.57/Z316.44-4,chi,人文科学
情爱画廊,'张抗抗,',北京作家出版社2009,长篇小说,I247.57,I247.57/Z316.44-6,chi,人文科学
赤彤丹朱,张抗抗,北京作家出版社2009,长篇小说,I247.57,I247.57/Z316.44-5,chi,人文科学
实战突击,潘凯华,北京电子工业出版社2011,PHP语言,TP312PH,TP312PH/P154.3-3,chi,科学技术
万事莫如睡觉急,'周腓力,',北京金城出版社2005,散文,I712.65,I712.65/Z378.25/1,chi,人文科学
王府井,镡凤仪,北京同心出版社2005,历史小说,I247.53,I247.53/T152.9,chi,人文科学
以温柔优雅的态度生活,李银河著,北京中国妇女出版社2007,随笔,I267.1,I267.1/L493,chi,人文科学
白痴,'陀思妥耶夫斯基,',北京人民文学出版社2012,长篇小说,I512.44,I512.44/T877-43,chi,人文科学
微观经济学,郑亚莉,杭州浙江大学出版社2008,微观经济学,F016-43,F016-43/Z326.95,chi,社会科学
冷血,卡波特,海口南海出版公司2010,长篇小说,I712.45,I712.45/K117.1-3,chi,人文科学
复活,托尔斯泰,上海上海译文出版社2006,长篇小说,I512.44,I512.44/T872-44,chi,人文科学
沉落的黄昏,江国香织,北京北京十月文艺出版社2006,中篇小说,I313.45,I313.45/J416.1-4,chi,人文科学
女人的幸福与什么有关,陈彤,null,null,null,null,null,自然科学
欢喜冤家,'张恨水,',西安陕西人民出版社2008,章回小说,I246.47,I246.47/Z316.37-6,chi,人文科学
北雁南飞,'张恨水,',西安陕西人民出版社2008,章回小说,I246.47,I246.47/Z316.37-5,chi,人文科学
战争论,克劳塞维茨,西安陕西师范大学出版社2008,战争理论,E8,E8/K251-2,chi,社会科学
似水流年,'张恨水,',西安陕西人民出版社2008,章回小说,I246.47,I246.47/Z316.37-7,chi,人文科学
夜深沉,'张恨水,',北京人民文学出版社2009,章回小说,I246.47,I246.47/Z316.37-11,chi,人文科学
金融英语900句,陈伟华,广州广东世界图书出版公司2008,金融,H319.9,H319.9/C325.83,chieng,人文科学
投资大师讲的理财课,肖冉,北京北京工业大学出版社2008,投资,F830.59-49,F830.59-49/X417.60,chi,社会科学
'The Gadfly /','Voynich, E. L.',null,null,null,I562.45/V795.2,null,自然科学
吕后,王小鹰,null,null,null,null,null,自然科学
生死一线间,董新建,南京江苏文艺出版社2009,长篇小说,I247.5,I247.5/D769.4,chi,人文科学
李银河自选集,'李银河,',呼和浩特内蒙古大学出版社2006,性学,C913.14,C913.14/L493-9,chi,社会科学
光绪皇帝别传,寒波,null,null,null,null,null,自然科学
笨花,铁凝,北京作家出版社2009,长篇小说,I247.5,I247.5/T245.0,chi,人文科学
卡夫卡文集,'卡夫卡,',上海上海译文出版社2002,文学,I521.15,I521.15/K128/2,chi,人文科学
太平花,'张恨水,',null,null,null,null,null,自然科学
啼笑因缘,张恨水,null,null,null,null,null,自然科学
京华烟云,'林语堂,',null,null,null,null,null,自然科学
老舍经典,老舍,海口南海出版社2000,中篇小说,I246.57,I246.57/L177.0/2,chi,人文科学
道德的中国与规则的日本,孙绿江,北京中华书局2010,文化,G12,G12/S855.4,chi,社会科学
人生,路遥,北京人民文学出版社2006,中篇小说,I247.57,I247.57/L890-1,chi,人文科学
原谅我红尘颠倒,'慕容雪村,',珠海珠海出版社2008,长篇小说,I247.57,I247.57/M867.91-2,chi,人文科学
平凡的世界,路遥,北京华夏出版社,null,I247.5,I247.57/L890-3,chi,人文科学
悲惨世界,'雨果,',上海上海译文出版社2003,长篇小说,I565.44,I565.44/Y838/16/1,chi,人文科学
边城,林贤治,广州花城出版社2008.05,短篇小说,I246.7,null,chi,人文科学
杀手亡命,布洛克,北京文化艺术出版社2010,长篇小说,I712.45,I712.45/B858.1-10,chi,人文科学
赢在人性,'卡耐基,',北京海潮出版社2004,人际关系学,C912.1,C912.1/K151/7,chi,社会科学
李嘉诚家族传,窦应泰,北京华夏出版社2008,'李嘉诚,',K820.9,K820.9/D789.7-2,chi,人文科学
英语词法概论,王文斌,上海上海外语教育出版社2005,英语,H314.1,H314.1/W168.1,chieng,人文科学
提高办事效率36计,凡禹,北京企业管理出版社2008,时间,C935,C935/F159.0,chi,社会科学
小小说300篇,杨晓敏,null,null,null,null,null,自然科学
全球化与大学的回应,柯里,null,null,null,null,null,自然科学
走出硝烟的女神,'姜安,',北京解放军文艺出版社2001,长篇小说,I247.52,I247.52/J416.10,chi,人文科学
涉外礼仪教程,'金正昆,',北京中国人民大学出版社2010,外交礼节,D802.2,D802.2/J459.4-4,chi,社会科学
女工,'毕淑敏,',福州海峡文艺出版社2004,长篇小说,I247.57,I247.57/B475/3,chi,人文科学
红处方,毕淑敏,北京北京十月文艺出版社1997,长篇小说,I247.57,I247.57/B475,chi,人文科学
商业银行经营学,戴国强,北京高等教育出版社1999,商业银行,F830.3,F830.3/D143.6,chi,社会科学
宏观经济学,'曼昆,',北京中国人民大学出版社2005,宏观经济学,F015,F015/M154-1,chi,社会科学
宏观经济学,卜洪运,北京机械工业出版社2010,宏观经济学,F015,F015/B839,chi,社会科学
西方经济学,'高鸿业,',北京中国人民大学出版社2007,现代资产阶级经济学,F091.3,F091.3/G173.9-2,chi,社会科学
'西方经济学 (宏观部分) 考研真题与典型题详解',金圣才,null,null,null,null,null,自然科学
国际金融,原雪梅,济南山东人民出版社2010,国际金融,F831,F831/Y959.5,chi,社会科学
出现频率最高的100种典型题型精解精练,汪志宏,北京清华大学出版社2008,高等数学,O13-44,O13-44/W169.3,chi,自然科学
数学题型集粹与练习题集,陈文灯,null,null,null,null,null,自然科学
'SPSS 12统计建模与应用实务',林杰斌,null,null,null,null,null,自然科学
中国研发与经济增长的空间统计分析,'苏方林,',北京经济科学出版社2009,技术开发,F124,F124/S825,chi,社会科学
中级计量经济学,孙敬水,上海上海财经大学出版社2009,计量经济学,F224.0,F224.0/S854.7-2,chi,社会科学
面板数据的计量经济分析,白仲林,null,null,null,null,null,自然科学
农村社会经济统计信息空间管理与分析,李小娟,北京科学出版社2011,农业统计,F302.5-39,F302.5-39/L494,chi,社会科学
线性回归分析基础,贝里,null,null,null,null,null,自然科学
统计预测原理,杨曾武,北京中国财政经济出版社1990.3,null,C81,C81/Y169.8,chi,社会科学
多元统计分析方法,巴克豪斯,上海格致出版社上海人民出版社2009,多元分析,O212.4,O212.4/B142,chi,自然科学
基于Copula理论的金融风险相依结构模型及应用,易文德,北京中国经济出版社2011,金融风险,F830.2,F830.2/Y482,chi,社会科学
新编英语报刊导读,汪翠珍,上海复旦大学出版社2011,英语,H319.4,H319.4/W161.92,chieng,人文科学
感悟强者的人生,王瑞泽,北京中国宇航出版社2011,英语,H319.4:I,H319.4:I/W166.9-2,chieng,人文科学
人工神经网络原理及仿真实例,高隽,北京机械工业出版社2007,人工神经网络,TP183,TP183/G174.0,chi,科学技术
数据挖掘,'贝里,',北京中国财政经济出版社2004,数据采集,TP274-43,TP274-43/B245,chi,科学技术
数据挖掘导论,陈封能,北京人民邮电出版社2011,数据采集,TP274,TP274/C325-1,chi,科学技术
'神经网络理论与MATLAB R2007实现',葛哲学,北京电子工业出版社2007,算法语言,TP183,TP183/G299,chi,科学技术
'新概念Access 2000教程',辜菊水,北京北京科海集团公司2001,关系数据库,TP311.138AC,TP311.138AC/G847,chi,科学技术
Access数据库应用基础实践教程,纪澍琴,北京北京邮电大学出版社2007,关系数据库,TP311.138AC,TP311.138AC/J476,chi,科学技术
Access数据库技术应用,卢湘鸿,北京清华大学出版社2007,关系数据库,TP311.138AC,TP311.138AC/L893,chi,科学技术
MATLAB概率与数理统计分析,张德丰,北京机械工业出版社2010,概率论,O21-39,O21-39/Z316.22,chi,自然科学
概率论、随机过程与数理统计,王玉孝,北京北京邮电大学出版社2008.03,概率论,O21,null,chi,自然科学
应用随机过程,罗斯,北京人民邮电出版社2011,随机过程,O211.6,O211.6/L877,chi,自然科学
MATLAB语言常用算法程序集,龚纯,北京电子工业出版社2008,MATLAB语言,TP312MA,TP312MA/G761.0,chi,科学技术
多变量分析,林震岩,北京北京大学出版社2007,多变量,C819,C819/L459.9,chi,社会科学
概率论与数理统计,龙永红,北京高等教育出版社2001,概率论,O21-43,O21-43/L769.3,chi,自然科学
谜之城,姜卫红,上海上海文艺出版社2011,长篇小说,I247.57,I247.57/J416.83-1,chi,人文科学
'MATLAB R 2006 a基础篇',曹岩,北京化学工业出版社2008,计算机辅助计算,TP391.75,TP391.75/C179.0,chi,科学技术
保卫人民币,何志成,北京清华大学出版社2010,人民币,F822.1,F822.1/H291,chi,社会科学
国际贸易实务,徐景霖,大连东北财经大学出版社2006,国际贸易,F740.4,F740.4/X845,chi,社会科学
日本商训,秋硕,长沙湖南人民出版社2008.01,商业经营,F715,null,chi,社会科学
黑人总统奥巴马,杨云彪,北京现代教育出版社2008,奥巴马,K837.127=5,K837.127=5/Y169.1,chi,人文科学
亚洲首富李嘉诚父子,陈重伊,北京中国工人出版社2005,'李嘉诚,',K825.38,K825.38/C325.99,chi,人文科学
自古英杰多磨难,李辉,北京商务印书馆2010,名人,K811,K811/L430.1-1,chi,人文科学
丁肇中传,耕涛,null,null,null,null,null,自然科学
大学英语六级考试词汇句子一串通,王长喜,北京中国社会出版社2004,英语,H313,H313/W161.9/14,chieng,人文科学
英语六级词汇15天快训,王建武,null,null,null,null,null,自然科学
多变量分析,王保进,北京北京大学出版社2007,统计分析,C819,C819/W161.4,chi,社会科学
大学英语六级考试精讲精练,莫锦国,南京东南大学出版社2003,英语,H310.42,H310.42/M743,chieng,人文科学
英语流行话题阅读,龚嵘,上海华东理工大学出版社华东理工大学电子音像出版社2006,英语,H319.4,H319.4/G766.0-1,chieng,人文科学
SPSS统计分析方法及应用,薛薇,北京电子工业出版社2004,统计分析,C819,C819/X828.0,chi,社会科学
最新大学英语四级阅读与简答150篇,徐广联,上海华东理工大学出版社2005,英语,H319.4,H319.4/X835-3,chieng,人文科学
英语专业四级考试阅读理解精讲精练,张莉,济南山东科学技术出版社2001,英语,H319.4,H319.4/Z316.50,chieng,人文科学
大学英语四级重点词汇,曹勇,北京世界图书出版社公司2002,英语,H313,H313/C179.0,chi,人文科学
冠军团队复制,容廙,北京新华出版社2010,组织管理学,C936,C936/R769.0,chi,社会科学
中间商杀手,雷雨,北京中国时代经济出版社2004,零售商业,F737.124.2,F737.124.2/L249.0,chi,社会科学
便利店之王,张力,北京中国经济出版社2008,零售商店,F737.124.2,F737.124.2/Z316.50,chi,社会科学
巴菲特教你学投资,张兵,北京京华出版社2008,股票投资,F830.91,F830.91/Z316.101,chi,社会科学
有效的语言沟通,卡耐基,延吉延边大学出版社2001,社会科学,C912.1,C912.1/C165.1,chi,社会科学
社交心理学,拜五四,null,null,null,null,null,自然科学
人生不怕,钱诗金,null,null,null,null,null,自然科学
她们谋生亦谋爱,闫红,天津天津教育出版社2007,女性,I206.2,null,chi,人文科学
黑天鹅,塔勒布,北京中信出版社2008,决策思维学,C934,C934/T152,chi,社会科学
审计学,阿伦斯,北京中国人民大学出版社2009,审计学,F239.0,F239.0/A585-2,chi,社会科学
'数据库系统概论 (第四版) 学习指导与习题解析',王珊,北京高等教育出版社2008,数据库系统,TP311.13,TP311.13/W167.0-1,chi,科学技术
大学英语考试过关引擎,蒋跃,西安世界图书出版西安公司2002,英语,H310.42-44,H310.42-44/J416.90,chieng,人文科学
六级英语综合模拟试卷与考点评析,四六级英语试题研究组,北京中国水利水电出版社2002,英语,H310.42-44,H310.42-44/S549.97,chieng,人文科学
'Matlab 7.0/Simulink 6.0应用实例仿真与高效算法开发',黄永安,null,null,null,null,null,自然科学
基于MATLAB的实用数值计算,石辛民,null,null,null,null,null,自然科学
活着,余华,海口南海出版公司1998,长篇小说,I247.5,I247.5/Y830-13,chi,人文科学
现实一种,'余华,',北京作家出版社2008,中篇小说,I247.7,I247.7/Y830-9,chi,人文科学
世事如烟,'余华,',上海上海文化出版社2004,短篇小说,I247.7,I247.7/Y830-12,chi,人文科学
一九八四,奥威尔,上海上海译文出版社2006,长篇小说,I561.45,I561.45/A782-4,chi,人文科学
未央歌,'鹿桥,',合肥黄山书社2008,长篇小说,I247.57,I247.57/L860.1,chi,人文科学
'Jane Eyre =','Brontèe, Charlotte,',null,null,null,I561.44/B675.1-6,null,自然科学
安娜·卡列宁娜,托尔斯泰,南京译林出版社1996,长篇小说,I512.44,I512.44/T872/10,chi,人文科学
经济发展理论,熊彼特,北京中国社会科学出版社2009,经济发展,F091.354,F091.354/X476-8,chi,社会科学
管理思想的演变,'雷恩,',北京中国社会科学出版社2000,管理学,C93-091,C93-091/L242,chi,社会科学
荆棘鸟,麦卡洛,南京译林出版社1998.7,长篇小说,I611.45,I611.45/M144=98,chi,人文科学
宋词是一朵情花,李会诗,北京石油工业出版社2010,宋词,I207.23,I207.23/L437,chi,人文科学
赋得永久的悔,'季羡林,',北京华艺出版社2008,散文,I267,I267/J495-35,chi,人文科学
李久芳说玉器收藏,'李久芳,',北京华夏出版社2008,古玉器,G894,G894/L442,chi,社会科学
投资学基础,亚历山大,北京电子工业出版社2003,投资学,F830.59,F830.59/Y154,chi,社会科学
投资银行学,栾华,null,null,null,null,null,自然科学
光荣日,韩寒,沈阳万卷出版公司2009,长篇小说,I247.5,I247.5/H153.0-4,chi,人文科学
你不可不知的中国文化精华,王奕飞,null,null,null,null,null,自然科学
纸醉金迷,'张恨水,',西安陕西人民出版社2008,章回小说,I246.47,I246.47/Z316.37-12,chi,人文科学
读城记,'余秋雨,',哈尔滨哈尔滨出版社2009,散文,I267,I267/Y869-35,chi,人文科学
潘深亮说书画收藏,'潘深亮,',北京华夏出版社2008,中国画,G894,G894/P157.5,chi,社会科学
王春城说陶瓷收藏,'王春城,',北京华夏出版社2008,古代陶瓷,G894,G894/W161.1,chi,社会科学
郁金香,'张爱玲,',北京北京十月文艺出版社2006,短篇小说,I246.7,I246.7/Z316.15-12,chi,人文科学
一把青,'白先勇,',南京江苏文艺出版社2009,短篇小说,I247.7,I247.7/B149.9-6,chi,人文科学
京城玩家,刘一达,北京经济日报出版社2004,收藏,G894,G894/L489.2,chi,社会科学
鬼话,'柏杨,',北京现代出版社2010,杂文,I267.1,I267.1/B790-6,chi,人文科学
竞技数独,严德人,北京中国言实出版社2007,智力游戏,G898.2,G898.2/Y162.6,chi,社会科学
中国金融风险的管理与控制,周骏,null,null,null,null,null,自然科学
“小不列颠”札记,布赖森,null,null,null,null,null,自然科学
砂器,松本清张,海口南海出版公司2007,推理小说,I313.45,I313.45/S761-8,chi,人文科学
巴黎女人,张耀工作室,桂林广西师范大学出版社2002,散文,I267,I267/Z939.7-1,chi,人文科学
推销员之死,米勒,上海上海译文出版社2009,剧本,I712.35,I712.35/M452-2,chi,人文科学
我和狗狗的10个约定,川口晴,北京中信出版社2009,中篇小说,I313.45,I313.45/C395.3,chi,人文科学
一生的远行,'季羡林,',北京华艺出版社2008,散文,I267,I267/J495-27,chi,人文科学
时尚女仪,杨惠卿,武汉武汉出版社2009,女性,C912.1-49,C912.1-49/Y163.6,chi,社会科学
上海格子间女子,'晓玮,',上海上海辞书出版社2007,散文,I267,I267/X417.80,chi,人文科学
瞿秋白散文名篇,'瞿秋白,',长春时代文艺出版社2010,散文,I266,I266/Q861-2,chi,人文科学
我的心是一面镜子,'季羡林,',北京华艺出版社2008,散文集,I267,I267/J495-23,chi,人文科学
日本古典和歌审美新视点,铁军,北京中国传媒大学出版社2010,古典诗歌,I313.072,I313.072/T424.0,chijpn,人文科学
解读日本与日本人,刘金钊,大连大连出版社2009,民族性,C955.313,C955.313/L484.9,chijpn,社会科学
英语国家文化综览,王小海,null,null,null,null,null,自然科学
国际礼仪,金正昆,北京北京大学出版社2005,外交礼节,D802.2,D802.2/J459.4-1,chi,社会科学
天体运行论,哥白尼,北京北京大学出版社2006,日心地动说,P134,P134/G211,chi,自然科学
博弈论不是教你诈,宇琦,北京中国华侨出版社2009,对策论,O225-49,O225-49/Y860,chi,自然科学
口译研究概论,波赫哈克,北京外语教学与研究出版社2010,口译,H059,H059/B732,chi,人文科学
4TEEN,'石田衣良,',桂林广西师范大学出版社2010,长篇小说,I313.45,I313.45/S347-10,chi,人文科学
日本人每天必说的65句,林崎惠美,上海上海世界图书出版公司2009,日语,H369.9,H369.9/L463,chijpn,人文科学
日语敬语脱口说,金子广幸,北京外语教学与研究出版社2009,日语,H364.3,H364.3/J453,chi,人文科学
沈从文经典作品选,沈从文,北京当代世界出版社2007,中篇小说,I216.2,I216.2/S325.18-5,chi,人文科学
季羡林谈文化,'季羡林,',北京人民日报出版社2011,文化,G0-53,G0-53/J495-1,chi,社会科学
空谷幽兰,波特,海口南海出版公司2009,随笔,I712.65,I712.65/B772,chi,人文科学
下个路口遇见你,兰思思,南京江苏文艺出版社2010,长篇小说,I247.57,I247.57/L157.7-1,chi,人文科学
红楼梦诗词曲赋全解,'蔡义江,',上海复旦大学出版社2007,红楼梦,I207.2,I207.2/C149.4-1,chi,人文科学
诗经,郭竹平,北京中国社会科学出版社2003,诗经,I222.2,I222.2/G879.6,chi,人文科学
三重门,韩寒,北京作家出版社2007,长篇小说,I247.5,I247.5/H153.0-2,chi,人文科学
长安乱,韩寒,北京中国青年出版社2004,长篇小说,I247.59,I247.59/H153.0/1,chi,人文科学
生活中的博弈论,谢洪波,北京中国书店2006,人生哲学,B821-49,B821-49/X423.1,chi,人文科学
日本概况,张立新,北京北京大学出版社2009,日本,K931.3,K931.3/Z316.59-1,chi,人文科学
数据统计分析与SPSS应用,余建英,北京人民邮电出版社2003,统计分析,C819,C819/Y849,chi,社会科学
林语堂作品精选,'林语堂,',武汉长江文艺出版社2008,散文,I267,I267/L459.7-7,chi,人文科学
苏童作品精选,'苏童,',武汉长江文艺出版社2009,短篇小说,I217.2,I217.2/S870,chi,人文科学
恐怖故事集,赞米亚诺维奇,珠海珠海出版社2001,短篇小说,I14,I14/Z155/1,chi,人文科学
西方经典灵异故事,余无夜,北京中国书籍出版社2010,故事,I14,I14/Y889,chi,人文科学
赢在营销,杜慧慧,北京北京工业大学出版社2009,市场营销学,F713.50,F713.50/D833,chi,社会科学
社交英语口语大典,关慧,北京北京航空航天大学出版社2010,英语,H319.9,H319.9/G953.0-1,chieng,人文科学
'超活用网络英语800句Yes, I Can',张耀飞,null,null,null,null,null,自然科学
'99\%的中国人不知道的历史真相',刘博,广州花城出版社2011,中国历史,K207-53,K207-53/L481.0,chi,人文科学
实用口才训练教程,郭千水,北京清华大学出版社2008,汉语,H193.2,H193.2/G876.7,chi,人文科学
百家评咏红楼梦,'曹雪芹,',null,null,null,null,null,自然科学
小公司为什么会失败,伍兹,北京中国市场出版社2008,公司,F276.6,F276.6/W894,chi,社会科学
亲爱的死鬼,王小山,null,null,null,null,null,自然科学
老舍小说名篇,'老舍,',长春时代文艺出版社2010,短篇小说,I246.7,I246.7/L177.0-10,chi,人文科学
古希腊神话故事,余祖政,北京国际文化出版公司2007,神话,I545.73,I545.73/Y899,chi,人文科学
希腊神话,施瓦布,西安陕西师范大学出版社2009,神话,I545.73,I545.73/S348-7,chi,人文科学
办公软件高级应用,吴卿,杭州浙江大学出版社2009,办公室自动化,TP317.1,TP317.1/W860,chi,科学技术
商业银行金融产品手册,杨明生,北京中国金融出版社2001,商业银行,F830.33-62,F830.33-62/Y165.7,chi,社会科学
金融数据挖掘,马超群,北京科学出版社2007,金融,F830.41,F830.41/M116,chi,社会科学
银行产品与服务的定价方法,许建忠,北京经济科学出版社2005,银行业务,F830.4,F830.4/X849,chi,社会科学
实战Office应用案例,孙直权,重庆重庆出版社2003,办公室自动化,TP317.1,TP317.1/S859.6,chi,科学技术
一本书掌握中国地理,子志,北京外文出版社2010,地理,K92-49,K92-49/Z490,chi,人文科学
'统计分析技术在ISO 9000中的应用',杨懋暹,北京中国计量出版社2003,统计分析,F273.2,F273.2/Y165.9/1,chi,社会科学
'Office 2007高级整合办公实例大全',喻杨,重庆电脑报电子音像出版社2009,办公自动化,TP317.1,TP317.1/Y890,chi,科学技术
全球城市史,科特金,北京社会科学文献出版社2010,城市史,K915,K915/K272-1,chi,人文科学
用图表说话,'热拉兹内,',北京清华大学出版社2008,企业管理,F274,F274/R251,chi,社会科学
Office办公应用必学的66个实例,刘松麟,上海上海科学技术出版社2009,办公自动化,TP317.1,TP317.1/L487.5,chi,科学技术
Photoshop必知必会特效经典,科尔比,北京清华大学出版社2009,'图形软件,Photoshop',TP391.41,TP391.41/K226,chi,科学技术
听德鲁克讲管理,姚大球,北京人民邮电出版社2012,德鲁克,C93,C93/Y172.6,chi,社会科学
尼采的锤子,费恩,北京新华出版社2010,哲学,B-49,B-49/F242,chi,人文科学
李叔同《晚晴集》人生解读,'李叔同,',北京线装书局2008,禅宗,B946.5-49,B946.5-49/L477,chi,人文科学
大学英语语法教程,何庆机,null,null,null,null,null,自然科学
美元大势,格伊特,北京中信出版社2010,美元,F837.12,F837.12/G294,chi,社会科学
管理者的15堂读书课,杨思卓,北京北京大学出版社2011,管理学,C93,C93/Y167.9,chi,社会科学
傻瓜狼,申棣什,北京中国经济出版社2010,股票,F830.91,F830.91/S325.27,chi,社会科学
幽默心理,黄宇明,北京中国人口出版社1997.7,幽默(美学),B842.5,B842.5/H969.5,chi,人文科学
思维与语言,维果茨基,北京北京大学出版社2010,语言,B842.5,B842.5/W243-1,chi,人文科学
决策中的心理学,岳晓东,null,null,null,null,null,自然科学
学习巴菲特,黄昊明,null,null,null,null,null,自然科学
一个想法1000万,'刘易斯,',海口海南出版社2001,'克拉克,',K837.125.38,K837.125.38/L489,chi,人文科学
乱世枭雄,徐绍峰,北京中国金融出版社2009,摩根士丹利,F837.123,F837.123/X872,chi,社会科学
文明探秘,金朝海,桂林广西师范大学出版社2005,文化史,K103-49,K103-49/J451.3,chi,人文科学
世界金融中心,刘晓东,长春吉林人民出版社2009,资本市场,F837.125,F837.125/L489.2,chi,社会科学
对冲基金,罗闻全,null,null,null,null,null,自然科学
证券市场基础知识,李惠,北京经济科学出版社2003,资本市场,F830.91,F830.91/L430.1,chi,社会科学
'Flash CS3中文版入门与提高',刘天华,北京清华大学出版社2008,'动画制作软件, Flash CS3',TP391.41,TP391.41/L487.3,chi,科学技术
金融企业运作管理,林光,北京北京大学出版社2008,金融机构,F830.2,F830.2/L453.0,chi,社会科学
Access办公数据库管理应用,陈强,北京机械工业出版社2008,关系数据库,TP311.138AC,TP311.138AC/C325.60,chi,科学技术
'Windows Vista + Office 2007应用技巧精粹',王诚君,北京清华大学出版社2008,'网络操作系统, Windows Vista',TP316.86,TP316.86/W161.4,chi,科学技术
博弈入门,奥斯本,上海上海财经大学出版社2010,对策论,O225,O225/A774-1,chi,自然科学
实用管理决策教程,梁云,北京北京理工大学出版社2010,决策学,C934-43,C934-43/L416.90,chi,社会科学
世界前沿技术发展报告,科学技术部,null,null,null,null,null,自然科学
红楼六家谈,'蔡义江,',哈尔滨黑龙江教育出版社2007,《红楼梦》研究,I207.411,I207.411/C149.4-5,chi,人文科学
清华夜话,焦可,北京新世界出版社2002,话剧,I234,I234/J417.40,chi,人文科学
基于SAS系统的金融计算,朱世武,北京清华大学出版社2004,金融,F830.49,F830.49/Z387.8,chi,社会科学
金融计量学,宋军,北京北京大学出版社2009,金融学,F830,F830/S764.0,chi,社会科学
三角平衡,兰多,北京东方出版社2009,管理学,C93,C93/L152,chi,社会科学
管理学,鲁,null,null,null,null,null,自然科学
金融系统分析与风险管理,'姜璐,',北京北京师范大学出版社2009,金融,F830-43,F830-43/J416.50,chi,社会科学
金融计算与建模,朱世武,北京清华大学出版社2007,金融市场,F830.9,F830.9/Z387.8,chi,社会科学
数据分析与EViews应用,'易丹辉,',null,null,null,null,null,自然科学
知行合一,祝伟,上海上海人民出版社2010,证券交易,F830.9,F830.9/Z388.0,chi,社会科学
股价走势技术分析,张邦辉,北京宇航出版社1992.10,null,F830.9,F830.9/Z316.13,chi,社会科学
股票技术分析,刘鲁宁,北京清华大学出版社2009,股票交易,F830.91,F830.91/L485.5,chi,社会科学
考研英语写作创作策略与高分范文,胡敏,北京世界图书出版公司北京公司2003,英语,H315,H315/H850/3,chieng,人文科学
微观经济学,张远超,北京经济科学出版社2005,微观经济学,F016-43,F016-43/Z316.91,chi,社会科学
微观经济学,周惠中,上海上海人民出版社2003,微观经济学,F016-43,F016-43/Z378.39,chi,社会科学
高等数学疑难分析与解题方法,孙清华,武汉华中科技大学出版社2008,高等数学,O13-42,O13-42/S856.3,chi,自然科学
微观经济学,张元鹏,上海格致出版社上海人民出版社2009,微观经济学,F016,F016/Z316.96-3,chi,社会科学
西方经济学演义,'徐平华,',null,null,null,null,null,自然科学
图解弗里德曼经济学精粹,毛定娟,北京中国言实出版社2009,经济学,F0-64,F0-64/M172.4,chi,社会科学
十天突破雅思写作,慎小嶷,北京机械工业出版社2009,英语,H315,H315/S325.99,chieng,人文科学
薄冰点通大学英语语法,薄冰,null,null,null,null,null,自然科学
中级微观经济学,叶德磊,上海上海财经大学出版社2005,微观经济学,F016-43,F016-43/Y225,chi,社会科学
麦克拉夫商务与经济统计学,麦克莱夫,北京中国人民大学出版社2009,经济统计学,F712.3,F712.3/M144,chi,社会科学
商务统计轻松学,莱文,北京机械工业出版社2008,商业统计,F712.3,F712.3/L148-1,chi,社会科学
2005年考研数学基础教程,王式安,北京航空工业出版社2004,高等数学,O13,O13/W167.1,chi,自然科学
'《微观经济学》(第六版) 学习指导','汉密尔顿,',null,null,null,null,null,自然科学
开讲啦,开讲啦栏目组,北京北京联合出版公司2013,人生哲学,B821-49,B821-49/K455.59,chi,人文科学
魔力,拜恩,长沙湖南文艺出版社2012,成功心理,B848.4-49,B848.4-49/B142-2,chi,人文科学
图解微观、宏观经济学,华经,北京经济管理出版社2012,微观经济学,F016-64,F016-64/H940,chi,社会科学
MBA宏观经济学,里默,北京中国财政经济出版社2010,宏观经济学,F015,F015/L457,chi,社会科学
线性代数典型题型精粹,李相朋,武汉华中理工大学出版社2009,线性代数,O151.2-44,O151.2-44/L496,chi,自然科学
图解微观经济学,黄典波,北京机械工业出版社2010,微观经济学,F016-49,F016-49/H962.1,chi,社会科学
考研英语词汇星2004,马德高,青岛中国海洋大学出版社2003,英语,H313,H313/M123/4,chieng,人文科学
应用统计与SPSS应用,朱红兵,北京电子工业出版社2011,统计分析,C819,C819/Z383.1,chi,社会科学
深度对话,孙晓燕,北京中国宇航出版社2011,英语,H319.4,H319.4/S859.9,chieng,人文科学
公司治理评论,李维安,北京经济科学出版社2009-,公司,F276.6,F276.6/L481-1,chi,社会科学
EViews数据统计与分析教程,张大维,北京清华大学出版社2010,计量经济学,F224.0-39,F224.0-39/Z316.28,chi,社会科学
SAS应用统计分析,科迪,北京人民邮电出版社2011,统计分析,C819,C819/K224,chi,社会科学
计量经济学导论,伍尔德里奇,北京中国人民大学出版社2007,计量经济学,F224.0,F224.0/W826,chi,社会科学
