@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
'PowerPoint 2003商务演讲',范俊弟,北京人民邮电出版社2006,'图形软件, PowerPoint 2003',TP391.41,TP391.41/F154.2-1,chi,科学技术
数码摄影100技,何兰兰,北京清华大学出版社2008,数字照相机,TB86,null,chi,科学技术
二十世纪中国史纲,金冲及,北京社会科学文献出版社2009,历史,K25,K25/J451.4-2,chi,人文科学
计算机文化,帕森斯,北京机械工业出版社2006,电子计算机,TP3,TP3/P172,chi,科学技术
计算机科学概论,布鲁克希尔,北京人民邮电出版社2007,计算机科学,TP3,TP3/B858-1,chi,科学技术
计算机导论,'诺顿,',北京清华大学出版社2009,电子计算机,TP3,TP3/N872,chi,科学技术
中国类型电视剧研究,魏南江,北京中国传媒大学出版社2011,电视剧,J905.2,J905.2/W245.4,chi,人文科学
电视剧鉴赏,刘晔原,北京高等教育出版社2005,电视剧,J905.2,J905.2/L489.9-1,chi,人文科学
喧哗与嬗变,鞠斐,长春吉林大学出版社2009,电视剧,J905.2,J905.2/J420,chi,人文科学
中国现代文化发展论纲,韩泽春,北京中国社会出版社2010,社会主义,G12,G12/H159.1,chi,社会科学
中国传统文化,何静,北京解放军文艺出版社2002,传统文化,G12,G12/H240,chi,社会科学
中国传统文化要略,蔡东洲,成都巴蜀书社2003,传统文化,G12,G12/C142.9,chi,社会科学
C++程序设计思想与方法,翁惠玉,北京人民邮电出版社2008,C语言,TP312C,TP312C/W263.9,chi,科学技术
高等数学全程导学及习题全解,王进良,北京中国时代经济出版社2007,高等数学,O13-42,O13-42/W164.5-2,chi,自然科学
'Photoshop CS3图层、通道、蒙版深度剖析宝典',数码创意,北京电子工业出版社2009,'图形软件, Photoshop CS3',TP391.41,TP391.41/S519,chi,科学技术
软件测试,官云战,北京国防工业出版社2006,软件,TP311.5,TP311.5/G959.9,chi,科学技术
证券投资学,任淮秀,北京高等教育出版社2003,证券投资,F830.91,F830.91/R253.9/1,chi,社会科学
货币银行学,张亦春,厦门厦门大学出版社1995,货币和银行经济学,F830,F830/Z316.91,chi,社会科学
银行会计,'钱红华,',上海复旦大学出版社2008,银行会计,F830.42,F830.42/Q415.33,chi,社会科学
'网页制作高手Flash 8网页设计',文渊阁工作室,北京人民邮电出版社2007,'动画制作软件, Flash 8',TP391.41,TP391.41/W933.97,chi,科学技术
加密与解密实战全攻略,范洪彬,北京人民邮电出版社2010,计算机安全,TP309.7,TP309.7/F153.1,chi,科学技术
'Dreamweaver 8 Flash 8/Fireworks 8经典设计300例',王涛,北京清华同方光盘电子出版社2008,网页制作工具,TP393.092,TP393.092/W167.0,chi,科学技术
'Flash MX实战入门新概念',王龙,北京中国水利水电出版社2002,网页制作,TP393.092,TP393.092/W165.01,chi,科学技术
Web开发的平民英雄,丁月光,北京电子工业出版社2011,PHP语言,TP312PH,TP312PH/D469.3-1,chi,科学技术
PHP5+MySQL网站开发实例精讲,黄炳强,北京人民邮电出版社2007,PHP语言,TP312PH,TP312PH/H961.6,chi,科学技术
PHP内容管理系统,陈红飞,北京电子工业出版社2009,PHP语言,TP312PH,TP312PH/C325.32,chi,科学技术
